,VTTS ($/min),WTP ($),city_ID,city_name,cost_delta ($),cost_uam ($),dist_range,distance,inc_range,income,mode,purpose,trip_cost_m ($),trip_time_m (min),trip_time_saved (min),trip_time_uam (min),uam_pax_trips,uam_pkt,uam_ticket_cost,uam_utilization,uam_vehicle_trips,vertiport_density
46,1.3749999999999998,-951.5093555844594,3.0,Moscow,-971.0398413131433,19.53048572868385,[22. 44.],33.0,[130000. 156000.],143000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
47,1.3749999999999998,-931.6094089973034,3.0,Moscow,-959.5823947259872,27.972985728683852,[44. 66.],55.0,[130000. 156000.],143000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
48,1.3749999999999998,-912.6902266274639,3.0,Moscow,-949.1057123561477,36.41548572868385,[66. 88.],77.0,[130000. 156000.],143000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
49,1.3749999999999998,-894.7312510188282,3.0,Moscow,-939.589236747512,44.85798572868385,[ 88. 110.],99.0,[130000. 156000.],143000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
50,1.3749999999999998,-869.195619789503,3.0,Moscow,-926.7173555181869,57.52173572868385,[110. 154.],132.0,[130000. 156000.],143000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
51,1.3749999999999998,-822.7574549478268,3.0,Moscow,-897.1641906765107,74.40673572868386,[154. 198.],176.0,[130000. 156000.],143000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
52,1.3749999999999998,-773.3127375927202,3.0,Moscow,-864.604473321404,91.29173572868386,[198. 242.],220.0,[130000. 156000.],143000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
53,1.3749999999999998,-723.8680202376136,3.0,Moscow,-832.0447559662974,108.17673572868385,[242. 286.],264.0,[130000. 156000.],143000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
54,1.625,-1140.0101480395115,3.0,Moscow,-1151.0981337681953,11.08798572868385,[ 0. 22.],11.0,[156000. 182000.],169000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
55,1.625,-1126.4154744238158,3.0,Moscow,-1145.9459601524995,19.53048572868385,[22. 44.],33.0,[156000. 182000.],169000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
56,1.625,-1103.6819009459043,3.0,Moscow,-1131.6548866745882,27.972985728683852,[44. 66.],55.0,[156000. 182000.],169000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
57,1.625,-1082.1074124520937,3.0,Moscow,-1118.5228981807777,36.41548572868385,[66. 88.],77.0,[156000. 182000.],169000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
58,1.625,-1061.667713766979,3.0,Moscow,-1106.5256994956628,44.85798572868385,[ 88. 110.],99.0,[156000. 182000.],169000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
